Year,Q1,Q2,Q3,Q4,citymarketid_1,citymarketid_2,city1,city2,fare1,fare2,fare3,fare4
2011,1,2,3,4,30198,30852,"Pittsburgh, PA","Washington, DC (Metropolitan Area)",180.67,173.27,169.59,153.96
2006,1,2,3,4,30194,33495,"Dallas/Fort Worth, TX","New Orleans, LA",137.25,135.9,123.56,125.19
2014,1,2,3,4,32337,31454,"Indianapolis, IN","Orlando, FL",191.9,175.23,164.49,187.22
2000,1,2,3,4,30721,33570,"Boston, MA (Metropolitan Area)","San Diego, CA",270.45,269.61,276.43,287.51
2011,1,2,3,4,31295,31703,"Detroit, MI","New York City, NY (Metropolitan Area)",232.63,222.99,200.93,205.36
2006,1,2,3,4,32575,33244,"Los Angeles, CA (Metropolitan Area)","Memphis, TN",269.65,278.38,267.81,249.85
2002,1,2,3,4,30466,34492,"Phoenix, AZ","Raleigh/Durham, NC",141.85,163.55,148.78,158.51
2008,1,2,3,4,30423,31123,"Austin, TX","St. Louis, MO",172.81,175.73,195.4,189.45
2003,1,2,3,4,30721,31454,"Boston, MA (Metropolitan Area)","Orlando, FL",142.86,136.69,113.61,132.5
2014,1,2,3,4,30194,30559,"Dallas/Fort Worth, TX","Seattle, WA",253.2,257.39,263.25,268.65
2002,1,2,3,4,33244,30852,"Memphis, TN","Washington, DC (Metropolitan Area)",201.66,194.46,191.72,193.8
2008,1,2,3,4,33851,32457,"Oklahoma City, OK","San Francisco, CA (Metropolitan Area)",194.88,194.15,189.05,201.35
2001,1,2,3,4,30397,30466,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",319.24,280.54,261.46,241.85
2000,1,2,3,4,33198,33851,"Kansas City, MO","Oklahoma City, OK",89.44,88.64,89.24,86.68
2013,1,2,3,4,33198,30693,"Kansas City, MO","Nashville, TN",152.62,153.71,163.73,164.14
2005,1,2,3,4,30397,33570,"Atlanta, GA (Metropolitan Area)","San Diego, CA",238.63,250.81,266.21,267.05
2008,1,2,3,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",176.48,153.71,159.23,151.53
1996,1,2,3,4,31603,32457,"Eugene, OR","San Francisco, CA (Metropolitan Area)",114.13,123.2,110.73,111.3
2004,1,2,3,4,34614,32457,"Salt Lake City, UT","San Francisco, CA (Metropolitan Area)",126.98,122.09,123.08,125.3
2003,1,2,3,4,30529,30693,"Hartford, CT","Nashville, TN",139.48,132.7,135.74,151.51
2009,1,2,3,4,30713,30559,"Boise, ID","Seattle, WA",96.12,94.2,101.77,109.82
2001,1,2,3,4,30977,33667,"Chicago, IL","Norfolk, VA (Metropolitan Area)",220.86,197.45,186.56,157.89
2011,1,2,3,4,31295,30559,"Detroit, MI","Seattle, WA",275.81,297.92,303.42,297.23
2007,1,2,3,4,30194,34027,"Dallas/Fort Worth, TX","West Palm Beach/Palm Beach, FL",184.18,191.96,178.5,201.64
2009,1,2,3,4,31295,31454,"Detroit, MI","Orlando, FL",117.26,116.2,95.29,113.72
2012,1,2,3,4,33244,31703,"Memphis, TN","New York City, NY (Metropolitan Area)",295.24,280.08,256.2,250.28
2006,1,2,3,4,30721,33192,"Boston, MA (Metropolitan Area)","Sacramento, CA",202.18,245.83,254.7,243.98
2012,1,2,3,4,33485,30852,"Madison, WI","Washington, DC (Metropolitan Area)",219.95,198.41,166.49,179.98
2009,1,2,3,4,30792,30977,"Buffalo, NY","Chicago, IL",99.26,103.74,119.29,116.29
2011,1,2,3,4,30713,30466,"Boise, ID","Phoenix, AZ",181.9,173.52,171.69,175.3
2006,1,2,3,4,30977,33244,"Chicago, IL","Memphis, TN",216.2,235.93,230.44,196.83
2012,1,2,3,4,31295,31453,"Detroit, MI","Houston, TX",313.29,296.11,305.53,307.09
2003,1,2,3,4,33198,33195,"Kansas City, MO","Tampa, FL (Metropolitan Area)",126.57,114.48,105.13,125.27
2008,1,2,3,4,30325,34492,"Denver, CO","Raleigh/Durham, NC",208.53,209.55,208.23,199.61
2001,1,2,3,4,30647,30693,"Cleveland, OH (Metropolitan Area)","Nashville, TN",83.44,81.21,80.12,80.9
2003,1,2,3,4,31453,33192,"Houston, TX","Sacramento, CA",215.32,201.67,213.89,211.61
2012,1,2,3,4,30466,34057,"Phoenix, AZ","Portland, OR",182.34,191.77,197.15,211.47
1998,1,2,3,4,32337,33570,"Indianapolis, IN","San Diego, CA",176.46,172.55,170.82,170.91
2005,1,2,3,4,30721,33667,"Boston, MA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",115.56,121.19,115.17,122.6
2007,1,2,3,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",171.79,169.87,174.45,179.08
